"Region","prevalence","cases","pop2022"
"Ukraine",6.3000,2800587,39701739
"United States",5.9000,17491047,338289857
"Australia",5.9000,1318599,26177413
"Estonia",5.9000,75667,1326062
"Brazil",5.8000,11548577,215313498
"Greece",5.7000,593136,10384971
"Portugal",5.7000,578234,10270865
"Belarus",5.6000,510764,9534954
"Finland",5.6000,293921,5540745
"Lithuania",5.6000,169685,2750055
"Russia",5.5000,7815714,144713314
"Cuba",5.5000,605879,11212191
"New Zealand",5.4000,221338,5185288
"Moldova",5.4000,207247,3272996
"Barbados",5.4000,14586,281635
"Germany",5.2000,2116728,83369843
"Spain",5.2000,2408700,47558630
"Czech Republic",5.2000,525488,10493986
"Bulgaria",5.2000,360724,6781953
"Paraguay",5.2000,332628,6780744
"Trinidad and Tobago",5.2000,67614,1531044
"Bahamas",5.2000,19138,409984
"Italy",5.1000,3049986,59037474
"Poland",5.1000,1878988,39857145
"Hungary",5.1000,493783,9967308
"United Arab Emirates",5.1000,444016,9441129
"Austria",5.1000,415916,8939617
"Slovakia",5.1000,268516,5643453
"Croatia",5.1000,205541,4030358
"Bosnia and Herzegovina",5.1000,185557,3233526
"Qatar",5.1000,105684,2695122
"Slovenia",5.1000,99864,2119844
"Cyprus",5.1000,42662,1251488
"Djibouti",5.1000,43909,1120849
"Malta",5.1000,20049,533286
"Antigua and Barbuda",5.1000,4424,93763
"Romania",5,931842,19659267
"Chile",5,844253,19603733
"Switzerland",5,388870,8740472
"Serbia",5,419302,7221365
"Denmark",5,267213,5882261
"Kuwait",5,181756,4268873
"Georgia",5,189241,3744385
"Uruguay",5,158005,3422794
"Armenia",5,142712,2780469
"Luxembourg",5,26350,647599
"Iran",4.9000,3637308,88550570
"Tunisia",4.9000,518432,12356117
"Sweden",4.9000,446734,10549347
"Latvia",4.9000,102702,1850651
"Cape Verde",4.9000,24240,593149
"Saint Lucia",4.9000,8892,179857
"Saint Vincent and the Grenadines",4.9000,5144,103948
"France",4.8000,2949572,64626628
"Peru",4.8000,1443513,34049588
"Belgium",4.8000,502075,11655930
"Ireland",4.8000,212555,5023109
"Albania",4.8000,131048,2842321
"Jamaica",4.8000,134054,2827377
"Lesotho",4.8000,98988,2305825
"Bahrain",4.8000,62549,1472233
"Montenegro",4.8000,28627,627082
"Suriname",4.8000,24914,618040
"Ethiopia",4.7000,4480113,123379924
"Colombia",4.7000,2177280,51874024
"Argentina",4.7000,1914354,45510318
"Canada",4.7000,1566903,38454327
"Netherlands",4.7000,752777,17564014
"Dominican Republic",4.7000,464164,11228821
"Lebanon",4.7000,255280,5489739
"Norway",4.7000,227446,5434319
"Costa Rica",4.7000,216608,5180829
"Oman",4.7000,199961,4576298
"Botswana",4.7000,102065,2630296
"Grenada",4.7000,4848,125438
"South Africa",4.6000,2402230,59893885
"Uganda",4.6000,1747769,47249585
"Azerbaijan",4.6000,428873,10358074
"Israel",4.6000,342181,9038309
"Singapore",4.6000,162203,5975689
"India",4.5000,56675969,1417173173
"United Kingdom",4.5000,2692081,67508936
"Algeria",4.5000,1683914,44903225
"Morocco",4.5000,1484441,37457971
"Saudi Arabia",4.5000,1339976,36408820
"Libya",4.5000,265833,6812341
"Guyana",4.5000,33700,808726
"Turkey",4.4000,3260677,85341241
"Thailand",4.4000,2885221,71697030
"Kenya",4.4000,1952981,54027487
"Madagascar",4.4000,1041000,29611714
"Kazakhstan",4.4000,732699,19397998
"Bolivia",4.4000,453716,12224110
"South Sudan",4.4000,529011,10913164
"El Salvador",4.4000,255032,6336392
"Panama",4.4000,162293,4408581
"Namibia",4.4000,104001,2567012
"Mauritius",4.4000,52570,1299469
"Comoros",4.4000,33769,836774
"Belize",4.4000,14956,405272
"Haiti",4.3000,437639,11584996
"Eritrea",4.3000,219549,3684032
"Gabon",4.3000,7303,2388992
"China",4.2000,54815739,1425887337
"Pakistan",4.2000,7436224,235824862
"Mexico",4.2000,4936614,127504125
"Japan",4.2000,5058124,123951692
"Uzbekistan",4.2000,1186450,34627652
"Ghana",4.2000,110048,33475870.0000
"Venezuela",4.2000,1270099,28301696
"Burundi",4.2000,448822,12889576
"Nicaragua",4.2000,238161,6948392
"Turkmenistan",4.2000,214010,6430770
"Central African Republic",4.2000,202081,5579144
"Mongolia",4.2000,117436,3398366
"Equatorial Guinea",4.2000,34909,1674908
"Eswatini",4.2000,53223,1201670
"Bhutan",4.2000,30947,782455
"Bangladesh",4.1000,6391760,171186372
"Tanzania",4.1000,2138939,65497748
"South Korea",4.1000,1904645,51815810
"Mozambique",4.1000,1122987,32969518.0000
"Sri Lanka",4.1000,802321,21832143
"Malawi",4.1000,679385,20405317
"Kyrgyzstan",4.1000,229637,6630623
"Mauritania",4.1000,160624,4736139
"Iceland",4.1000,12533,372899
"Vietnam",4,3564934,98186856
"Zambia",4,636819,20017675
"Somalia",4,420387,17597511
"Zimbabwe",4,603529,16320537
"Jordan",4,287844,11285869
"Honduras",4,308862,10432860
"Guinea-Bissau",4,71467,2105566
"Seychelles",4,3722,107118
"Nigeria",3.9000,7079815,218541212
"Cameroon",3.9000,886273,27914536
"Syria",3.9000,688074,22125249
"Senegal",3.9000,560991,17316449
"Guinea",3.9000,474541,13859341
"Benin",3.9000,411695,13352864
"Togo",3.9000,277532,8848699
"Sierra Leone",3.9000,243895,8605718
"Gambia",3.9000,74821,2705992
"Sao Tome and Principe",3.9000,7270,227380
"DR Congo",3.8000,2871309,99010212
"Malaysia",3.8000,1127643,33938221
"Ivory Coast",3.8000,843736,28160542
"Rwanda",3.8000,425516,13776698
"Tajikistan",3.8000,304018,9952787
"Indonesia",3.7000,9162886,275501339
"Myanmar",3.7000,1917983,54179306
"Iraq",3.7000,1263249,44496122
"North Korea",3.7000,874632,26069416
"Guatemala",3.7000,580994,17843908
"Maldives",3.7000,12739,523787.0000
"Sudan",3.6000,1376305,46874204
"Angola",3.6000,892128,35588987
"Yemen",3.6000,915231,33696614
"Burkina Faso",3.6000,640502,22673762
"Mali",3.6000,605969,22593590
"Egypt",3.5000,2995824,110990103
"Chad",3.5000,478228,17723315
"Liberia",3.5000,155406,5302681
"Fiji",3.5000,30568,929766
"Niger",3.4000,653348,26207977
"Cambodia",3.4000,508823,16767842
"Philippines",3.3000,3298652,115559009
"Afghanistan",3.3000,1038610,41128771
"Nepal",3.2000,890361,30547580
"Laos",3.2000,209326,7529475
"Samoa",3.2000,5803,222382
"Tonga",3.2000,3205,106858
"Vanuatu",3.1000,7917,326740
"Kiribati",3.1000,3452,131232
"Micronesia",3.1000,3182,114164
"Papua New Guinea",3,223094,10142619
"Timor-Leste",3,33932,1341296
"Solomon Islands",2.9000,16535,724273
