OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountTherapyEndTreatment_LI_GuidedSelfHelpBook,CountTherapyEndTreatment_LI_NonGuidedSelfHelpBook,CountTherapyEndTreatment_LI_GuidedSelfHelpComputer,CountTherapyEndTreatment_LI_NonGuidedSelfHelpComputer,CountTherapyEndTreatment_LI_StructuredPhysicalActivity,CountTherapyEndTreatment_LI_PsychoEducationalPeerSupport,CountTherapyEndTreatment_LI_Signposting,CountTherapyEndTreatment_LI_Other,CountTherapyEndTreatment_HI_AppliedRelaxation,CountTherapyEndTreatment_HI_CouplesTherapyForDepression,CountTherapyEndTreatment_HI_CollaborativeCare,CountTherapyEndTreatment_HI_CounsellingForDepression,CountTherapyEndTreatment_HI_ShortTermPsychoDynamicPsychotherapy,CountTherapyEndTreatment_HI_EyeMovementDesensitisationReprocessing,CountTherapyEndTreatment_HI_Mindfulness,CountTherapyEndTreatment_HI_CognitiveBehaviourTherapy,CountTherapyEndTreatment_HI_InterpersonalPsychoTherapy,CountTherapyEndTreatment_HI_InternetEnabledTherapy,CountTherapyEndTreatment_HI_Other,CountTherapyEndTreatment_EmploymentSupport,CountTherapyEndTreatment_LastNotStated
England,All,All,Therapy type recorded at start of treatment,Low intensity,Guided self help book,54873,602,10726,2591,6,3634,30,5913,11,339,363,14912,261,736,131,43642,987,2621,3818,548,6403
England,All,All,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,12235,2579,1436,1955,0,690,14,710,7,64,42,3609,96,360,26,19890,327,971,818,62,6401
England,All,All,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,1988,13,8058,117,0,79,1,333,0,12,3,271,7,52,22,2414,36,1765,323,23,285
England,All,All,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,281,22,130,1101,0,7,0,118,0,1,1,61,1,7,2,523,6,174,91,2,226
England,All,All,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,3,0,2,1,7,0,0,1,0,0,0,1,0,0,0,19,2,1,12,0,2
England,All,All,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,652,35,296,39,3,2355,1,376,6,8,11,300,3,43,9,1093,35,23,67,34,149
England,All,All,Therapy type recorded at start of treatment,Low intensity,Signposting,17,1,1,1,0,3,13,4,0,0,0,0,1,0,0,33,1,2,5,0,0
England,All,All,Therapy type recorded at start of treatment,Low intensity,Other low intensity,34007,241,14074,2499,13,4512,20,33495,24,550,37,14186,189,1337,226,51970,1603,4372,11530,225,4491
England,All,All,Therapy type recorded at start of treatment,High intensity,Applied relaxation,10,1,1,0,0,2,0,14,60,0,0,4,0,0,0,10,0,0,3,0,9
England,All,All,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,13,0,6,0,0,2,0,9,0,729,2,76,0,1,0,30,0,1,14,1,51
